user,project,snr,records,mean_fraction_audio_annotation_true,mean_fraction_review_annotation_true,average_matched_word_count,normalized_matched_word_count
56,quick,10,12,1.0,1.0,5.0,1.0
56,quick,15,12,1.0,1.0,5.0,1.0
56,quick,20,12,1.0,1.0,5.0,1.0
56,quick,25,12,1.0,0.85,5.0,1.0
57,quick,0,12,0.4000000000000001,0.5,1.5,0.3
57,quick,5,12,1.0,1.0,5.0,1.0
57,quick,10,12,0.9,0.9500000000000001,4.5,0.9
57,quick,15,12,1.0,1.0,5.0,1.0
57,quick,20,12,1.0,1.0,5.0,1.0
57,quick,25,12,1.0,1.0,5.0,1.0
59,quick,0,14,0.3,0.31428571428571433,1.5,0.3
59,quick,5,14,1.0,1.0,5.0,1.0
59,quick,10,14,0.9,0.9,4.5,0.9
59,quick,15,14,1.0,1.0,5.0,1.0
59,quick,20,14,1.0,1.0,5.0,1.0
59,quick,25,14,1.0,1.0,5.0,1.0
60,quick,0,12,0.0,0.0,0.0,0.0
60,quick,5,12,0.3,0.3166666666666667,1.5,0.3
60,quick,10,12,0.9,0.8666666666666667,4.5,0.9
60,quick,15,12,0.8000000000000002,0.7333333333333334,3.5,0.7
60,quick,20,12,0.9,0.9,4.5,0.9
60,quick,25,12,0.7000000000000001,0.15,0.0,0.0
61,quick,0,14,0.0,0.0,0.0,0.0
61,quick,5,14,0.5,0.5714285714285714,2.5,0.5
61,quick,10,14,0.5,0.5,2.5,0.5
61,quick,15,14,1.0,1.0,5.0,1.0
61,quick,20,14,0.7000000000000001,0.7142857142857143,3.5,0.7
61,quick,25,14,0.9,0.7857142857142857,3.5,0.7
62,quick,0,16,0.4,0.4,1.5,0.3
62,quick,5,16,1.0,0.95,5.0,1.0
62,quick,10,16,1.0,0.975,5.0,1.0
62,quick,15,16,1.0,1.0,5.0,1.0
62,quick,20,16,1.0,1.0,5.0,1.0
62,quick,25,16,1.0,0.7625,4.0,0.8
63,quick,0,14,0.7000000000000001,0.7285714285714286,3.5,0.7
63,quick,5,14,0.9,0.7714285714285715,4.0,0.8
63,quick,10,14,1.0,1.0,5.0,1.0
63,quick,15,14,1.0,1.0,5.0,1.0
63,quick,20,14,1.0,1.0,5.0,1.0
63,quick,25,14,1.0,0.9285714285714286,4.5,0.9
64,quick,0,12,0.0,0.0,0.0,0.0
64,quick,5,12,0.7000000000000001,0.6,3.0,0.6
64,quick,10,12,0.7999999999999999,0.7999999999999999,4.0,0.8
64,quick,15,12,1.0,0.6833333333333332,3.0,0.6
64,quick,20,12,1.0,0.9333333333333332,4.5,0.9
64,quick,25,12,1.0,0.5,2.5,0.5
65,quick,0,14,0.0,0.0,0.0,0.0
65,quick,5,14,0.0,0.0,0.0,0.0
65,quick,10,14,0.3,0.3,2.0,0.4
65,quick,15,14,0.5,0.5,2.5,0.5
65,quick,20,14,0.1,0.1142857142857143,0.5,0.1
65,quick,25,14,0.4,0.4571428571428572,1.5,0.3
66,quick,0,10,0.0,0.0,0.0,0.0
66,quick,5,10,0.0,0.2,0.0,0.0
66,quick,10,10,1.0,1.0,5.0,1.0
66,quick,15,10,1.0,0.9800000000000001,5.0,1.0
66,quick,20,10,1.0,0.9,5.0,1.0
66,quick,25,10,0.5,0.18,0.5,0.1
67,quick,0,12,0.0,0.0,0.0,0.0
67,quick,5,12,0.7000000000000001,0.6833333333333335,3.5,0.7
67,quick,10,12,1.0,0.9500000000000001,4.5,0.9
67,quick,15,12,0.9,0.9,4.5,0.9
67,quick,20,12,0.9,0.9,4.5,0.9
67,quick,25,12,0.9,0.7666666666666666,3.5,0.7
68,quick,0,12,0.0,0.08333333333333333,0.0,0.0
68,quick,5,12,0.9,0.8333333333333334,4.5,0.9
68,quick,10,12,0.7000000000000001,0.6333333333333334,3.0,0.6
68,quick,15,12,0.9,0.9,4.0,0.8
68,quick,20,12,0.7000000000000001,0.7000000000000001,3.5,0.7
68,quick,25,12,0.9,0.6666666666666666,3.0,0.6
